name,landscape and content,suitable activities,atmosphere,latitude,longitude,x,y,id
Church of Saint-Germain-des-Pres,"Historic Roman Catholic church with stunning sapphire-hued vaulted ceilings, intricate stained glass, and ancient architecture. Notable as Paris's oldest church, featuring restored elements and a mix of Romanesque/Gothic styles.","Guided tours, attending organ/classical concerts, meditating, exploring historical details, and participating in religious services like Sunday antiphonal singing.","Peaceful, spiritually uplifting, and awe-inspiring. Blends serene reverence with occasional live music, offering a tranquil escape amidst bustling surroundings.",48.8537981,2.3333285,651081.767682899,6861735.238651418,84
Saint-Germain-l'Auxerrois,"Gothic architecture with ornate stained glass windows, historical religious art, and a robust exterior. Located near the Louvre, featuring 15th-century elements like carved wood panels and a tranquil courtyard.","Exploring interiors for stained glass and carvings, photography, quiet reflection, attending services, and combining visits with nearby Louvre tours.","Peaceful, awe-inspiring, and spiritual. Less crowded than major landmarks, offering serenity and a reverent ambiance with natural light filtering through stained glass.",48.86156159999999,2.3337187,651117.6827227736,6862598.2295852015,85
Church of Saint-Gervais,"Gothic and Baroque architecture with stained glass, art, and historical elements. Features a mix of styles, religious art, and ongoing renovations. Described as ancient, uniquely decorated, and architecturally impressive.","Attending services, appreciating art/architecture, quiet reflection, musical events, and photography. Suitable for spiritual visits or peaceful breaks.","Serene, spiritual, and welcoming. Peaceful ambiance contrasts with the busy surroundings. Described as holy, meditative, and calm despite occasional street activity.",48.85561329999999,2.3544587,652633.8494728892,6861924.189774855,86
Saint Merry Church,"Gothic 16th-century church with stained glass, painted walls, and partial restoration. Features historic architecture, religious art, and a mix of traditional/modern elements. Described as a hidden gem with Gothic design and serene interiors.","Attend free Sunday concerts, religious services, quiet reflection, photography, and explore stained glass/architecture. Art purchases mentioned in one review.","Peaceful, spiritual, and welcoming. Visitors note a serene, uncrowded environment with a mix of reverence and community warmth. Described as comforting yet historically evocative.",48.859126,2.3508751,652374.1221043889,6862316.927184235,87
Church of Saint-Severin,"Gothic architecture with intricate stained glass windows, 12th-century Roman-Gothic design, and historic stonework. Features spiritual art, vaulted ceilings, and a serene courtyard. Often described as a 'hidden gem' with Notre Dame-like beauty.","Admire stained glass, explore Gothic architecture, attend mass, reflect quietly, take photos, and appreciate historical details.","Peaceful, solemn, and spiritually uplifting. Offers an intimate, underrated ambiance with warmth and calmness, contrasting Paris's busy streets. Described as serene and awe-inspiring.",48.8521499,2.3454016,651966.1135466696,6861544.562212679,88
Saint-Nicolas du Chardonnet,"13th-century church with stunning statues, stained glass, ceiling art, and traditional Latin Mass. Features SSPX priests, Gregorian chants, and historical religious architecture.","Attending traditional Latin Mass, viewing religious art, quiet reflection, and experiencing Gregorian chants or sermons.","Serene, solemn, and reverent with a non-touristy, tranquil vibe. Emphasizes tradition and spiritual reflection.",48.8490507,2.3502384,652318.1901647022,6861197.028735984,89
Saint-Joseph-des-Carmes,"17th-century Italian-style baroque church with painted domes, statues, stained glass, and crypt. Features Carmelite convent heritage, classical architecture, and intricate decorations. Includes historical martyrdom sites.","Guided tours, prayer/meditation, exploring crypts, attending masses (including Tridentine), cultural/historical visits, contemplative breaks.","Calm, prayerful, and contemplative with tragic historical undertones. Combines serene spirituality with architectural grandeur and solemn remembrance of martyrdom events.",48.8485737,2.3303371,650857.3468947811,6861156.192510157,90
Church of Saint-Roch,"Baroque architecture with ornate altars, stained glass, life-size statues, and historical significance (Napoleon-related events). Features 17th-century design, art-filled chapels, and a mix of grandeur and modest exterior.","Attending traditional French Mass, admiring art and stained glass, quiet reflection, organ music appreciation, spontaneous visits while exploring central Paris.","Calm, spiritually uplifting, and uncrowded. Offers peaceful escape with authentic religious ambiance, enhanced by organ music and historical resonance. Welcoming yet reverent.",48.8649263,2.3322817,651015.4222024707,6862973.246857177,91
Saint-Sulpice Church,"Massive Romanesque-Baroque church with striking exterior, intricate frescoes, and a famed Meridian line. Features historic organs, grand columns, and religious art. Second-largest Parisian church after Notre Dame, noted for its architectural blend and historical significance.","Attending organ concerts, light shows, or cultural events; exploring religious art; climbing towers for views; quiet reflection or meditation; attending Mass or choir performances.","Awe-inspiring yet serene, blending spiritual grandeur with tranquility. Visitors note a peaceful, contemplative aura, occasionally energized by cultural events or lit-up nighttime displays.",48.85098139999999,2.3350051,651202.1506939458,6861421.010581487,92
Notre-Dame-des-Blancs-Manteaux,"Medieval Gothic church with stained glass, a blend of architectural styles, and serene interiors. Hidden in Marais, featuring 17th-century elements and occasional renovation projects.","Attending concerts (e.g., Mozart), religious services, quiet reflection, exploring Marais streets, visiting during events like White Night or bazaars.","Tranquil, calming, and reverent. Offers peaceful respite from city bustle, with warm welcomes, respectful ambiance, and occasional lively community events.",48.8589301,2.3576473,652870.8058578112,6862291.081437016,93
Church of Saint-Nicolas-des-Champs,"Gothic-style architecture with intricate details, stained glass, statues, and historical artwork. Features a small cafe. Exterior shows signs of renovation but retains flamboyant Gothic elements.","Attending mass, admiring architecture, visiting the cafe, quiet reflection, photography, and attending weddings.","Peaceful, warm, and welcoming with a spiritual vibe. Described as heart-warming, serene, and uncrowded, offering a calm retreat from the city.",48.8655887,2.3539926,652608.7251018996,6863033.651087606,94
Saint-Martin-des-Champs Priory,"Gothic church with a spectacular dome, intricate details, and converted spaces housing technology exhibits (transportation, Foucault's Pendulum), historical artifacts, and art like the Liberty statue. Combines religious architecture with industrial and scientific displays.","Exploring transportation exhibits, attending Foucault's Pendulum demonstrations, viewing art collections, and immersing in historical and technological displays within the museum-church hybrid.","Awe-inspiring blend of historic grandeur and intellectual curiosity, merging spiritual ambiance with innovative scientific exhibits. Described as magnificent, extraordinary, and adventurous.",48.8662912,2.3541597,652621.6222319509,6863111.663353732,95
Parish Church of Saint-Paul of Saint-Louis,"Baroque-style 17th-century church with vaulted ceilings, frescoes, stained glass, and ornate altars. Features Roman Catholic heritage, historical architecture, and notable art. Functioning religious site with grand interiors.","Free self-guided tours, photography, attending concerts, quiet reflection, and neighborhood exploration via strolls or bus routes.","Peaceful, reverent, and awe-inspiring ambiance blending historical grandeur with a serene, spiritual environment. Described as calm yet majestic.",48.8544675,2.3614508,653145.8484772232,6861792.615330625,96
Church of Saint-Leu-Saint-Gilles - Parigi (Francia),"Roman Catholic church featuring Gothic architecture (13th-century elements), ornate altar, stained glass, and relics like Saint Helena's remains. Externally modest on Rue Saint-Denis, with striking interior details including organ and medieval influences.","Worship, quiet reflection, attending monthly services (notably 29th-day events), admiring art and architecture, exploring historical relics, and photography.","Serene, peaceful ambiance with a welcoming vibe. Combines spiritual reverence with understated charm, offering respite from urban bustle despite its central location.",48.8629617,2.3498736,652304.155940842,6862744.029666468,97
Church of Our Lady of Hope,"Modern, minimalist church with atypical architecture (1998), open doors, and a mix of serene interiors. Features recorded bell sounds, geometric designs, and a blend of concrete/glass elements. Contrasts traditional churches with its gymnasium-like structure and street-facing accessibility.","Attending concerts (jazz, classical), quiet reflection or prayer, architectural appreciation, and brief visits for calm. Avoid during bell recordings if noise-sensitive.","Peaceful yet polarizing; described as warm, welcoming, and soothing despite its modern austerity. Some find it soulless, others praise its serenity amid urban bustle.",48.8557668,2.3745335,654106.9280642091,6861929.402895168,98
Saint-Denys-du-Saint-Sacrement Church,"Neoclassical 19th-century church with a sober exterior contrasting a richly decorated interior. Features Delacroix's Pietà painting, baroque elements, and a seminary. Known for its historical architecture and religious art.","Attending mass, quiet meditation, admiring religious art, listening to sacred music concerts, and reflective prayer.","Peaceful, serene, and contemplative. Offers a quiet retreat with a welcoming community and reverent ambiance for spiritual or artistic reflection.",48.8599748,2.3648638,653401.2008401465,6862402.960393805,99
"Saint-Ambroise, Paris","Gothic-style Catholic church with eye-catching architecture, stained glass, and historical significance. Features a nearby park. Described as 'authentic' and 'stunning' with intricate design elements.","Praying, attending mass (including Sunday 11 PM), guided tours, quiet reflection, and sitting in the adjacent park for contemplation.","Peaceful, spiritual, and reflective. Visitors note a quiet, calming environment ideal for meditation and gratitude, with an authentic Parisian neighborhood charm.",48.8618494,2.3772575,654312.12916235,6862604.158252489,100
Church of Saint-Thomas-d'Aquin,"Baroque and classical architecture with intricate interior decorations, stained glass, paintings, and baroque-inspired elements. Features 17th-century art, a magnificent ceiling, and historical religious artifacts.","Admiring art and architecture, attending Mass, quiet reflection, exploring historical features, and appreciating religious services.","Serene, elegant, and peaceful with a spiritually uplifting vibe. Combines calm reverence with welcoming energy during services.",48.8553378,2.3261233,650554.5468950194,6861910.926897923,101
Church of Saint-Joseph-des-Nations,"Neo-Roman 19th-century architecture with a renovated facade, featuring large dimensions and intricate design. Notable for scaffolding during past works and serene interior spaces with religious art.","Attending mass, quiet prayer, contemplation, admiring architecture, participating in community events, and enjoying Portuguese hymns.","Peaceful, serene, and welcoming environment with a reverent tone. Emphasizes spiritual reflection, warmth from congregants, and a sense of tranquility amid urban surroundings.",48.8690781,2.3736951,654057.1524810273,6863410.001898608,102
Saint-Antoine des Quinze-Vingts,"Mix of modern and traditional architecture with stained glass windows, Romanesque elements, and a notable rooster symbol. Described as a manor-like building with tasteful details, hidden between streets near Gare de Lyon.","Praying, attending mass, appreciating stained glass art, participating in community events, and renting the space for cultural activities like choir performances.","Peaceful, welcoming, and intimate. Visitors note a warm, calm environment conducive to solemn reflection, despite its location in a noisy area. The community is described as friendly and inclusive.",48.8486643,2.3741661,654073.7116244958,6861139.88182762,103
La Madeleine,"Neoclassical Greek-style church with Corinthian columns, grand altar, and relics of St. Mary Magdalene. Features ornate interiors, classical architecture, and ongoing exterior renovations. Combines religious symbolism with monumental design.","Attend classical concerts, religious services, or guided tours. Explore architectural details, take photos, and appreciate historical artifacts. Free entry for quiet reflection or cultural visits.","Majestic, serene, and spiritually uplifting. Reverent during services, awe-inspiring due to scale and artistry. Blends solemnity with cultural grandeur.",48.8700435,2.3245502,650453.1115895443,6863547.062775607,104
Basilica of Notre-Dame des Victoires,"17th-century baroque basilica with ornate interiors, religious statues (including Our Lady), relics (St. Augustine), historical medallions, and intricate architectural details.","Spiritual practices (sacraments, pilgrimage), cultural exploration of art/history, quiet reflection, and admiring baroque architecture.","Serene, spiritually uplifting ambiance with reverence and tranquility; described as warm, sacred, and historically immersive.",48.8667928,2.3409215,651650.9653123214,6863175.4618056,105
Romanian Orthodox Church of the Holy Archangels,"Small but beautiful Orthodox cathedral with historical Romanian significance, featuring intricate icons and housed in a former Catholic chapel. Blends Byzantine and Western architecture in a residential area near the Latin Quarter.","Attending Orthodox services, lighting candles, meditating, exploring Romanian cultural heritage, and quiet sightseeing visits.","Peaceful, spiritually uplifting, and welcoming. Reverent yet warm community vibe with occasional mentions of grumpy staff. Described as angelic, miraculous, and 'heaven on earth' by visitors.",48.8494977,2.3471683,652093.3113911585,6861248.58915302,106
cathedrale Sainte-Croix-Saint-Jean-des-Armeniens,"Armenian Catholic church featuring bright architecture, huge paintings, superb woodwork, and recent renovations. Combines cultural heritage with artistic elements like stained glass and historical significance.","Attending piano/classical concerts, cultural events, and free performances; enjoying acoustics-focused musical experiences.","Peaceful, serene, and spiritually uplifting environment with a welcoming, reverent vibe and quiet contemplation.",48.8610172,2.3605565,653086.1275187072,6862521.41720531,107
Church of Notre-Dame de Bonne-Nouvelle,"Neoclassical church featuring elegant colonnades, religious art like nativity scenes, and an octagonal baptistery. Blends historic architecture with liturgical renewal themes.","Attending concerts, liturgical celebrations, quiet reflection, appreciating religious art, and participating in community prayer or meditation.","Calm, welcoming, and spiritually warm with a sense of community. Some visitors note physical coldness, but praise the lively, inclusive environment.",48.8697185,2.3499393,652315.1611113084,6863495.293593254,108
Sainte-Chapelle,"Gothic chapel renowned for its 13th-century stained glass windows depicting biblical scenes, intricate Gothic architecture, and royal historical significance. Features vibrant light displays through stained glass and a narrow spiral staircase leading to the upper chapel.","Book timed tickets in advance, admire stained glass artistry, take photos of light effects, attend guided tours to learn about biblical storytelling in windows, and use Paris Museum Pass for entry.","Awe-inspiring and spiritually uplifting with crowded queues, serene despite tourist bustle. Stained glass creates ethereal light, evoking historical reverence and artistic wonder. Some visitors note cramped spaces but overwhelming visual impact.",48.855375,2.3449609,651936.7509649203,6861903.432169598,109
Saint-Ignace Catholic Church,"Hidden Jesuit church with discreet architecture, colorful stained glass, and Arcabas artwork. Features a majestic nave, decorative elements, and religious themes. Surrounded by buildings, invisible from the street.","Attending Mass (especially Sunday/Easter Vigil), meditation, Bible reading, photography of artwork, quiet contemplation, and exploring hidden religious art.","Peaceful, serene, and spiritually uplifting. Quiet refuge with a welcoming, contemplative vibe. Combines simplicity with majestic reverence, away from urban noise.",48.8506372,2.3262453,650559.0386067672,6861388.18795494,110
Saint-Eugene Sainte-Cecile Church,"Neo-Gothic architecture with vibrant stained glass, painted ceilings, and ornate organ pipes. Features colorful interiors contrasting a modest facade. Emphasizes traditional Catholic art and design elements.","Attending Traditional Latin Mass, Gregorian chant services, organ concerts, meditating, and admiring Gothic art and architecture.","Peaceful, reverent, and spiritually uplifting. Combines awe-inspiring grandeur with intimate tranquility, fostering reflection and communal reverence.",48.87318519999999,2.3471555,652114.148732197,6863882.45005661,111
Paroisse Saint-Martin-des-Champs,"Historic Gothic church with notable architecture, undergoing renovations. Features stained glass, a quiet location near Canal Saint-Martin, and exterior evening lighting. Mixed reviews mention aged stonework and visible facade damage.","Attending classical concerts (mentioned for acoustics), religious services (Palm Sunday, Stations of the Cross), architectural visits, and cultural exploration. One review cites Lebanese cuisine, possibly an event.","Peaceful and spiritual with warm hospitality. Reviews highlight a welcoming parish community, serene ambiance amid renovations, and occasional lively musical or liturgical energy.",48.8699175,2.3627748,653256.85995733,6863509.746205687,112
Protestant church of the Oratory of the Louvre,"Gothic-style church with impressive organ, stained glass, and architectural details. Features historical elements like a statue of Colign. Interior described as beautiful with Baroque influences and symphonic organ.","Attending organ recitals, concerts (including free monthly events), religious services, photography, and exploring historical/architectural details.","Peaceful, tranquil, and relaxing environment. Described as an 'oasis of peace' with occasional mentions of dullness in minimal decor.",48.8617873,2.3401457,651589.4039574182,6862619.366043842,113
Luxembourg Temple e United Protestant Church of France,"Historic Protestant church with serene interiors, bright spaces, and notable acoustics. Hosts multilingual worship services, ecumenical activities, and varied musical programming.","Attending multilingual worship services (English/Malagasy), participating in community activities, enjoying musical events, quiet reflection, and recharging spiritually.","Warm, welcoming, and inclusive environment with a dynamic community. Lively yet peaceful vibe emphasizing humility, kindness, and openness to all.",48.8474947,2.3313479,650930.505872361,6861035.589714982,114
Saint-Julien-le-Pauvre,"Small 12th-century Melkite Greek Catholic church with medieval architecture, a unique roof, historic icons (including Mother Mary), and proximity to Notre Dame. Features simple beauty and religious art.","Attending classical/piano concerts, cultural events, quiet reflection, and appreciating acoustic performances or religious history.","Intimate, serene, and spiritually uplifting with magical acoustics. Blends historical authenticity with warm, peaceful vibes during musical or liturgical events.",48.8520368,2.3471015,652090.7439653293,6861530.953809102,115
Temple du Marais,"Historic Protestant church with 17th-century architecture, featuring a double dome, red door, and spacious interior. Notable for its blend of solemnity and familial warmth, combining religious significance with architectural elements like a unique chapel shape and stained glass.","Attend worship services, spiritual reflection, admire architecture, participate in community events like concerts, and explore historical context through guided visits.","Peaceful, welcoming, and spiritually uplifting. Combines reverence with a warm, communal vibe from friendly congregants and meaningful sermons in a historic yet intimate setting.",48.8533108,2.3662101,653494.0267435896,6861661.18700187,116
Trinity International Church,Multicultural church offering English-language services with diverse congregations and scriptural focus.,"Attending worship services, engaging in religious practices, connecting with international community members.","Welcoming, inclusive, and spiritually uplifting environment with friendly interactions across cultural backgrounds.",48.8474991,2.3313696,650932.1024465268,6861036.065466727,117
Church of St Louis d'Antin,"Gothic architecture with intricate artwork, biblical figures, and historical significance. Features stained glass, concrete structure, and warm interiors. Notable for its blend of solemnity and artistic beauty despite a modest exterior.","Lighting candles, attending Mass (including late Sunday services), confessions, quiet reflection, and admiring religious artwork. Suitable for worship and architectural appreciation.","Peaceful, spiritual haven contrasting with its busy central location. Solemn yet welcoming, with frequent adoration and enthusiastic services fostering reverence and calm.",48.8745521,2.3282326,650727.4885879065,6864046.081266959,118
Chapel of Our Lady of the Miraculous Medal,"Historic chapel featuring sacred art, Saint Catherine Laboure's shrine, and the incorrupt body of Saint Catherine. Known for the Miraculous Medal story, located in a quiet alley near Bon Marché, with ornate interiors and religious artifacts.","Attending Mass, purchasing/blessing Miraculous Medals, personal prayer, pilgrimage, quiet reflection, and participating in consecration rituals.","Serene, deeply spiritual, and sacred ambiance with a sense of divine presence. Peaceful despite tourist visits, fostering introspection and emotional connection to faith.",48.8507859,2.3229912,650320.3962843752,6861406.764375905,119
"Saint-Laurent, Paris","Gothic medieval Catholic church featuring 15th-century architecture, stained glass, chapels, and historical religious elements. Described as modest yet historic with notable Gothic details and proximity to landmarks like Gare de l'Est.","Attending religious services, quiet reflection, admiring architectural details, spiritual exploration, and short visits while exploring nearby areas like Canal Saint Martin.","Calm, peaceful, and spiritually uplifting. Visitors highlight a serene, historic ambiance despite some mentions of needed renovations. Generally described as tranquil and reverent.",48.8575475,2.3513765,652409.466897741,6862141.109201814,120
Eglise Evangelique Paris Bastille,"Small multicultural church with vibrant worship services, pastoral teachings, and community focus. Features simple decor, emphasis on prayer, and mix of cultures. Described as a 'beautiful place of worship' with accessible sermons.","Attending worship services, prayer meetings, meditation, baptism, and engaging in community teachings. Includes listening to sermons, participating in lively singing, and multicultural fellowship.","Warm, welcoming, and lively environment with a multicultural congregation. Peaceful yet energetic, blending joyful noise with moments of reflection. Some mention crowded spaces and occasional loudness.",48.8532607,2.3696995,653750.020573367,6861653.56685547,121
Church of St,"17th-19th century architecture with modest exterior contrasting ornate interiors. Features unique paintings, stained glass, historical layers, and the Chapel of Souls in Purgatory. Includes bas-reliefs, restored elements, and a blend of classical and village charm.","Attend organ concerts, explore art and history, quiet reflection, photography, and visit during mass. Appreciate restoration efforts or enjoy the adjacent green square.","Serene, spiritual, and calming oasis with village-like intimacy. Combines historical reverence with understated elegance, offering tranquility amid Parisian bustle.",48.8575475,2.3513765,652409.466897741,6862141.109201814,122
"Sainte-Clotilde, Paris","Gothic-style basilica with twin spires, stained glass windows, and intricate neo-gothic architecture. Features detailed carvings, religious art, and historical elements (180 years old). Often described as a hidden gem with serene interiors.","Attending organ concerts, quiet reflection, photography, exploring Gothic architecture, and spontaneous visits while strolling nearby areas.","Peaceful, reverent, and tranquil. Less crowded than major landmarks, offering spiritual calm. Described as serene, restful, and occasionally vibrant during live music events.",48.8585238,2.3193166,650058.1739827836,6862269.464962548,123
Saint-Vincent de Paul Catholic Church,"Neoclassical church with ornate interiors, stained glass, and grand columns. Features historical significance (built 1824–44) and a free app detailing its architecture. Notable for its serene gardens, night lighting, and proximity to Gare du Nord.","Attending mass, quiet prayer, exploring architectural details, using the historical app, photography, and reflective walks. Ideal for visitors seeking religious experiences or cultural appreciation.","Peaceful, solemn, and calm. Visitors describe a serene environment for reflection, with subdued crowds and spiritual reverence. Combines awe-inspiring beauty with quiet humility.",48.8786767,2.3518474,652463.3020183605,6864490.23244655,124
Rhema International,"A church described as beautiful and peaceful, emphasizing spiritual connection through prayer, worship, and sermons. Focus on divine presence and religious community.","Prayer, worship services, listening to sermons, seeking spiritual guidance, deliverance, and experiencing healing and restoration through communal religious practices.","Peaceful, spiritually uplifting, and welcoming environment where visitors feel God’s presence, transformative love, and a sense of liberation and blessing.",48.86824,2.366323,653515.6327917762,6863321.125907837,125
St Jean-Baptiste de La Salle's Church,"Early 20th-century neighborhood church with simple architecture, notable stained glass windows, and a historic family tomb. Features references to Jean-Baptiste de La Salle, founder of Christian schools. Combines traditional religious elements with unique artistic touches.","Attending religious services, community events (e.g., charity sales), quiet reflection, exploring stained glass art, coworking sessions, and school-related activities. Suitable for bereavement support or cultural visits.","Calm, welcoming, and community-focused. Blends tranquility with lively, youthful energy. Friendly locals, supportive clergy, and occasional critiques of commercial undertones during events.",48.8411909,2.3123656,649531.4074648856,6860346.636456484,126
Paroisse Orthodoxe Roumaine Sainte-Parasceve-et-Sainte-Genevieve,"Small Orthodox church with Romanian heritage, located in a basement. Features religious iconography and a humble structure connected to St Sulpice.","Attend Orthodox liturgical services, engage in spiritual reflection, and participate in community-driven religious activities.","Warm, serene, and spiritually uplifting. Visitors feel a divine connection and communal warmth.",48.8511848,2.3341438,651139.1400356586,6861444.159348537,127
Catholic Church of Our Lady of the Cross of Menilmontant,"Romanesque-Byzantine church with towering architecture, stained glass windows, wooden sculptures, and ceramic art. Notable for its large scale, unique design, and historical artworks like Joseph Pyrz's sculpture. Exterior features a lighthouse-like bell tower and grand steps.","Attending masses, quiet reflection, exploring art and architecture, participating in cultural events (e.g., concerts, weddings), and enjoying panoramic views from the steps. Ideal for photography and community engagement.","Peaceful, serene, and welcoming. Visitors highlight its spiritual calm, spaciousness, and the warmth of its community. Combines grandeur with accessibility, often described as a hidden gem in a lively neighborhood.",48.868559,2.3872869,655053.7163051139,6863344.459339187,128
Evangelical Church of St Marcel,"Historic church with beautiful architecture, hidden on a street. Features a sober yet well-maintained interior. Notable for austere design blended with joyful decorative elements like Christmas adornments. Exterior described as 'very pretty' and architecturally interesting.","Attending Sabbath services, gospel events, classical music concerts (e.g., Thursdays of Saint Marcel), Christmas celebrations, and community worship. Engaging in welcoming rituals and spiritual reflection.","Warm, welcoming, and fraternal. Visitors note a cozy, home-like feel with joyful energy. Described as a communal space with friendly parishioners and a spiritually uplifting vibe.",48.8410247,2.3393781,651513.774959557,6860311.230904811,129
Paroisse Saint-Pierre de Montmartre,"12th-century Gothic church with original medieval architecture, crucifixes, and sparse interiors. Overshadowed by Sacré-Cœur but features historic elements like 900-year-old columns. Located in Montmartre near tourist hubs.","Attend quiet reflection, free entry visits, occasional concerts, admire Gothic architecture, climb the tower (6€ fee), escape tourist crowds.","Peaceful, serene, and spiritually authentic. Less touristy with calm surroundings, offering a respite from busy Montmartre. Described as romantic, charming, and historically immersive.",48.8866786,2.3419959,651748.2062417287,6865385.969760407,130
Church's Saint Honore,"Historic boutique with curated high-quality shoes, described as a stylish store in a prime location. Features include elegant displays and a small but refined selection, particularly noted for men's footwear.","Shoe shopping, personalized style consultations, after-sales service interactions, and seeking expert footwear advice from passionate staff.","Polarizing: warm, professional service (attentive staff like Fatima/Chloé) contrasts with occasional coldness or arrogance. Varies between welcoming, passionate energy and unwelcoming, rushed dismissiveness based on staff encounters.",48.86601539999999,2.3294181,650806.378720726,6863096.126199518,131
"Notre Dame d'Egypte, eglise catholique copte","Simple and unique Coptic Catholic church with modest architecture, noted for its distinctiveness in Paris.","Attending services, personal reflection, and revisiting childhood memories through regular visits.","Warm, welcoming, and nostalgic environment fostering a sense of spiritual and emotional connection.",48.8527288,2.3505635,652345.4103206722,6861605.802917903,132
Chinese Protestant Church in Paris,"Large, beautiful church with a focus on Chinese Christian community. Features Mandarin/Cantonese services and modern premises, though floor 2 may feel crowded.","Religious services, spiritual growth activities, weddings, community gatherings, and cultural events for Chinese Christians.","Welcoming, dynamic, and spiritually uplifting environment with a youthful, home-like vibe for attendees.",48.86997359999999,2.3782371,654391.1098756621,6863506.942011836,133
Church of Saint-Bernard de la Chapelle,"Neo-Gothic church with ornate interiors, stained glass, and a historic organ. Features Congolese cultural elements. Described as a 'masterpiece' with 'sublime' architecture, though some note restoration needs.","Attending services, prayer groups, Christmas concerts, choir performances, quiet reflection, and admiring art/architecture.","Peaceful, spiritual, and welcoming. Blends community warmth with historical serenity. Described as 'calm,' 'enchanting,' and 'traditional' with a sense of cultural vibrancy.",48.8860736,2.3550221,652702.8535146421,6865310.816043071,134
Church of Our Lady of Labour,"Industrial-style church with iron pillars, steel beams, and stained glass. Unique blend of traditional religious architecture and factory-like metal construction. Built in 1900, linked to Eiffel Tower's construction history.","Admiring architectural uniqueness, taking photos, learning about industrial-era history, quiet reflection, exploring hidden gem design elements.","Serene, peaceful, and awe-inspiring. Combines spiritual calm with striking industrial aesthetics, creating a surprising yet harmonious environment. Often described as a quiet escape.",48.8361258,2.3169237,649861.0666017716,6859780.549098924,135
Church of Saint-Pierre-de-Montrouge,"Neo-Roman style church with a large, well-decorated interior featuring wooden ceilings, magnificent vaults, and classic architectural elements. Described as an 'oasis' with historical and artistic details.","Attending Mass, prayer, quiet reflection, exploring architecture, and participating in community events. Wheelchair accessible.","Peaceful, serene, and spiritually uplifting. Visitors note a calm, holy ambiance ideal for solace and connection, with a soothing 'oasis-like' environment amidst urban surroundings.",48.82868730000001,2.3270506,650597.3308860366,6858947.090340557,136
Church of Saint-Esprit,"Modern 1930s church blending brutalist and Byzantine architecture with striking frescoes, Art Deco elements, and a modest exterior. Interior features dark, awe-inspiring spaces reminiscent of Saint Sophia, though partially under renovation.","Exploring frescoes and architecture, attending special events (e.g., 1st Wednesdays), spiritual reflection, and photography/filming in unique interiors.","Serene, spiritual, and dimly lit with a warm, welcoming vibe. Visitors note a mix of awe from artistic grandeur and quiet solemnity despite ongoing renovations.",48.8384337,2.3979821,655812.7210625075,6859988.748178635,137
Church of the Blessed Sacrament,"Features religious art including a magnificent pietà painting, the tomb of Saint Pierre-Julien Eymard, and spiritual elements tied to Eucharistic worship. Simple yet beautiful architecture with sober decor.","Attending mass (often in French), praying, meditating, visiting the saint's tomb, and quiet reflection.","Calm, serene, and spiritually uplifting. Few visitors create a peaceful environment, ideal for contemplation and reverence.",48.87423339999999,2.3020676,648808.0850353572,6864027.28912316,138
"St Dominique's Church, Paris","Concrete-built church with bright interiors, historical significance (early 20th century), and understated charm. Features dynamic parish activities and a mix of sober religious architecture with modern elements.","Attending masses, meditation, choir performances, community events (e.g., first communion), and exploring religious architecture.","Peaceful, welcoming, and conducive to meditation, though occasionally noisy during events like scout meetings. Generally warm with moments of spiritual serenity.",48.8575475,2.3513765,652409.466897741,6862141.109201814,139
Saint Pierre de Chaillot Catholic Church,"1930s-built church with striking modern architecture, intricate decorations, and a unique tower. Features historical elements and artistic motifs. Described as 'magnificent' with clean lines and impressive structural design.","Quiet reflection, architectural photography, attending concerts/events, meditating, and exploring interior details. Ideal for brief visits en route to nearby landmarks.","Peaceful, spiritually uplifting, and serene. Offers a tranquil escape from city bustle with a solemn, warm ambiance that even non-religious visitors find calming.",48.867604,2.2989264,648571.1455865868,6863292.19346908,140
American Church in Paris,"Historic church with beautiful architecture, large halls, and an impressive organ. Features serene Seine river views and photogenic interiors. Hosts traditional worship services and cultural events like choir performances.","Attending worship services (English-speaking), concerts, weddings, choir events, photography, meditation/prayer, and community gatherings like AA meetings.","Welcoming, diverse, and relaxed environment with an international community. Blends spiritual reverence with warmth, though some note occasional exclusivity or organizational issues.",48.8621642,2.3069585,649155.0345024656,6862682.132211514,141
Saint Michael's Church Paris,"Anglican church with vibrant worship services, faithful pastoral leadership, and a family-friendly congregation. Described as a beautiful, authentic place of worship in central Paris with a strong community focus.","Attending English-speaking worship services (evening/Sunday), participating in community fellowship, spiritual reflection, and joining holiday celebrations or prayer groups.","Warm, welcoming, and spiritually uplifting environment. Features genuine interactions, a sense of belonging, and loving community bonds. Described as non-showy and God-centered.",48.87004779999999,2.3191154,650054.4616870191,6863550.964816622,142
Church,Spiritual environment with straightforward religious messaging and welcoming interiors.,"Attending services, quiet prayer, and engaging in spiritual reflection.","Warm, welcoming, and reverent ambiance fostering a sense of connection and peace.",48.8564071,2.3218011,650238.4360568087,6862032.538457437,143
Church of Saint-Denys de la Chapelle,"Historic Roman-style basilica with stone architecture, Joan of Arc statue, and religious artwork. Features integration with Saint Joan of Arc Basilica, though some note maintenance needs. Emphasizes Christian heritage and historical significance.","Attending mass, baptism, prayer groups (e.g., Christ is Alive), quiet contemplation, and exploring religious history.","Peaceful, prayerful, and welcoming. Described as serene with a lively community vibe, though some note limited accessibility or upkeep issues.",48.891343,2.3601146,653081.0338482532,6865893.706570311,144
